,Ward/Precinct,STEPHEN J MURPHY,DOUG BENNETT,FELIX G ARROYO,TITO JACKSON,TOMAS GONZALEZ,JOHN R CONNOLLY,ANDREW P KENNEALLY,AYANNA S PRESSLEY,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters
0,0101,175,62,116,63,41,188,186,73,5,909,679,397,1113
1,0102,147,52,71,25,43,129,115,41,4,627,465,273,816
2,0103,242,88,217,93,138,217,195,127,2,1319,1081,600,1720
3,0104,78,44,38,18,11,72,73,25,0,359,373,183,563
4,0105,116,54,82,23,34,110,157,37,4,617,527,286,960
5,0106,117,47,77,27,51,132,105,45,5,606,410,254,836
6,0107,104,52,88,35,48,128,106,48,2,611,429,260,1046
7,0108,155,70,150,36,85,165,156,55,5,877,647,381,1413
8,0109,105,53,75,16,31,101,87,29,3,500,360,215,838
9,0110,78,33,57,15,27,79,70,25,2,386,242,157,582
10,0111,257,99,118,34,47,293,207,49,2,1106,998,526,1296
11,0112,265,94,122,49,50,288,247,72,0,1187,941,532,1315
12,0113,274,104,147,44,57,272,290,70,1,1259,1073,583,1627
13,0114,137,66,71,41,35,118,124,55,3,650,622,318,943
14,0115,0,0,1,0,0,0,0,0,0,1,3,1,223
15,0201,349,219,189,109,47,406,200,148,1,1668,1180,712,1948
16,0202,321,138,206,78,60,405,145,165,5,1523,1061,646,2339
17,0203,263,171,172,89,45,300,140,178,4,1362,798,540,1579
18,0204,189,94,129,53,47,220,109,80,8,929,655,396,1398
19,0205,329,139,162,60,50,393,191,132,1,1457,775,558,1628
20,0206,410,199,172,71,58,550,228,149,8,1845,1143,747,1903
21,0207,277,120,118,43,41,283,164,99,2,1147,753,475,1286
22,0301,503,325,318,157,137,519,225,369,12,2565,1887,1113,3487
23,0302,168,108,125,69,56,171,69,94,0,860,732,398,1546
24,0303,143,117,103,64,45,168,84,86,3,813,787,400,1528
25,0304,209,129,127,74,64,237,83,90,2,1015,1057,518,1616
26,0305,399,168,345,114,78,443,125,323,3,1998,1010,752,2646
27,0306,345,293,269,120,81,418,123,296,7,1952,1068,755,3479
28,0307,452,134,447,231,155,533,163,429,9,2553,1391,986,3726
29,0308,381,116,426,240,213,417,246,322,16,2377,1387,941,3805
30,0401,281,92,288,163,83,296,84,318,1,1606,766,593,1966
31,0402,271,88,286,218,93,274,69,325,9,1633,939,643,2655
32,0403,142,47,184,136,47,172,35,205,4,972,388,340,1310
33,0404,266,91,305,207,95,282,62,334,6,1648,592,560,1943
34,0405,146,54,169,104,38,161,49,154,3,878,414,323,1550
35,0406,142,44,144,72,65,161,50,150,6,834,386,305,1354
36,0407,116,42,153,102,34,111,29,137,1,725,323,262,1701
37,0408,124,24,131,67,32,122,31,104,0,635,301,234,1578
38,0409,25,9,61,48,21,14,7,24,6,215,233,112,1048
39,0410,18,12,14,10,7,17,9,17,1,105,63,42,945
40,0501,524,146,476,303,161,525,200,512,11,2858,1370,1057,3990
41,0502,184,49,187,90,68,207,43,162,3,993,515,377,2449
42,0503,229,122,197,112,43,278,60,237,2,1280,556,459,1702
43,0504,187,86,166,95,39,218,49,181,4,1025,567,398,2135
44,0505,118,71,85,45,23,120,33,104,3,602,282,221,655
45,0506,217,108,164,73,41,227,55,183,5,1073,607,420,1843
46,0507,295,115,196,119,53,325,63,237,8,1411,669,520,2133
47,0508,256,101,194,110,42,280,52,210,3,1248,664,478,2026
48,0509,242,101,200,126,53,269,66,199,17,1273,607,470,2893
49,0510,134,44,110,53,43,145,44,120,2,695,449,286,2380
50,0511,205,61,161,64,49,215,52,178,2,987,541,382,1173
51,0601,324,195,204,111,75,365,245,199,7,1725,1007,683,2533
52,0602,217,135,95,35,34,213,156,81,3,969,579,387,1171
53,0603,281,178,114,47,37,309,226,122,6,1320,564,471,1430
54,0604,302,154,99,51,49,278,241,105,7,1286,878,541,1552
55,0605,337,132,93,37,40,286,221,88,9,1243,933,544,1413
56,0606,409,199,105,44,71,350,271,82,3,1534,1042,644,1362
57,0607,383,187,90,30,43,363,242,82,5,1425,923,587,1389
58,0608,433,221,110,38,35,421,280,67,11,1616,984,650,1422
59,0609,448,176,107,44,32,387,275,94,5,1568,1104,668,1374
60,0701,424,166,81,48,34,342,256,82,3,1436,1004,610,1262
61,0702,455,214,115,46,49,362,350,105,7,1703,1077,695,1563
62,0703,555,226,147,72,94,496,326,124,13,2053,1471,881,1871
63,0704,301,155,116,47,43,285,220,88,12,1267,941,552,1598
64,0705,250,100,85,55,41,226,117,82,5,961,651,403,1238
65,0706,247,97,123,61,48,203,131,87,4,1001,683,421,1296
66,0707,157,58,129,62,59,107,78,76,3,729,423,288,943
67,0708,184,78,79,36,39,171,113,81,5,786,482,317,926
68,0709,163,58,121,61,52,176,106,140,1,878,454,333,1005
69,0710,95,38,145,115,69,75,25,71,3,636,684,330,1236
70,0801,65,23,119,69,47,82,30,68,4,507,381,222,911
71,0802,189,68,209,141,81,230,73,198,9,1198,626,456,2045
72,0803,75,11,111,133,41,59,11,102,3,546,510,264,1131
73,0804,31,8,60,87,25,30,8,44,0,293,307,150,604
74,0805,83,19,154,150,66,49,17,123,3,664,724,347,1239
75,0806,46,13,74,37,27,35,12,39,2,285,251,134,446
76,0807,68,11,102,115,39,38,15,98,3,489,531,255,901
77,0901,163,60,265,131,186,169,52,157,6,1189,703,473,1854
78,0902,180,73,213,169,95,225,48,224,11,1238,642,470,1937
79,0903,215,61,333,308,147,131,50,285,5,1535,1057,648,2777
80,0904,90,18,197,171,92,61,13,129,1,772,788,390,1868
81,0905,126,28,291,359,142,111,15,313,2,1387,993,595,1823
82,1001,84,25,134,92,72,77,24,79,3,590,318,227,845
83,1002,93,20,149,131,79,79,37,93,2,683,309,248,1098
84,1003,99,8,99,92,51,90,54,65,4,562,322,221,1063
85,1004,215,42,281,138,101,223,59,216,2,1277,695,493,1655
86,1005,100,22,169,140,80,112,61,131,0,815,401,304,1188
87,1006,76,15,174,90,79,75,22,110,8,649,419,267,1157
88,1007,107,25,246,128,153,79,23,120,0,881,691,393,1610
89,1008,152,66,240,156,123,174,42,157,3,1113,479,398,1660
90,1009,151,33,351,151,123,337,60,233,6,1445,639,521,1807
91,1101,62,13,174,178,65,53,18,176,2,741,371,278,831
92,1102,84,16,198,251,92,59,14,242,5,961,659,405,1308
93,1103,65,11,160,208,60,41,10,149,1,705,463,292,1081
94,1104,118,27,281,189,169,114,28,163,11,1100,716,454,1616
95,1105,85,25,284,167,171,95,30,155,1,1013,759,443,1485
96,1106,130,10,254,147,182,116,32,161,0,1032,488,380,1103
97,1107,137,23,333,228,174,207,51,253,6,1412,596,502,1562
98,1108,152,47,302,201,160,240,52,219,2,1375,609,496,1501
99,1109,124,22,293,145,95,160,50,230,3,1122,450,393,978
100,1110,137,16,313,152,118,181,42,233,1,1193,471,416,1412
101,1201,125,26,240,327,85,91,26,320,1,1241,703,486,1485
102,1202,133,23,338,404,111,120,15,360,4,1508,932,610,2013
103,1203,61,9,145,204,54,30,7,156,3,669,527,299,916
104,1204,55,11,134,174,37,37,14,174,1,637,439,269,985
105,1205,62,10,132,181,44,33,7,125,1,595,521,279,754
106,1206,66,11,139,141,46,44,7,145,1,600,388,247,755
107,1207,145,23,253,345,101,79,25,299,2,1272,1128,600,2242
108,1208,30,8,94,102,38,21,5,113,0,411,333,186,733
109,1209,74,14,184,201,62,45,9,196,0,785,399,296,867
110,1301,100,32,162,208,62,72,28,148,1,813,739,388,1263
111,1302,30,6,62,56,24,22,12,51,0,263,193,114,539
112,1303,98,23,128,85,73,76,24,99,2,608,540,287,1580
113,1304,61,12,134,129,57,28,10,128,2,561,407,242,948
114,1305,74,22,107,86,33,73,12,82,1,490,510,250,808
115,1306,171,73,167,113,76,164,69,164,7,1004,592,399,1260
116,1307,251,79,136,76,68,224,103,158,2,1097,587,421,1199
117,1308,203,71,111,66,52,173,78,133,3,890,498,347,1164
118,1309,242,75,167,87,61,222,81,148,4,1087,557,411,1198
119,1310,429,138,246,129,87,474,195,300,4,2002,1018,755,1600
120,1401,85,19,233,250,91,72,26,228,19,1023,717,435,1980
121,1402,162,36,268,336,73,119,20,289,5,1308,1000,577,2171
122,1403,97,6,158,165,65,53,5,152,11,712,516,307,1166
123,1404,108,20,173,201,72,72,25,232,4,907,593,375,1346
124,1405,75,12,91,129,32,66,9,127,7,548,432,245,970
125,1406,68,12,125,153,41,49,13,141,1,603,553,289,931
126,1407,83,15,135,173,55,55,9,161,1,687,493,295,1122
127,1408,116,15,147,199,62,61,13,188,1,802,542,336,953
128,1409,62,13,113,117,42,41,6,99,2,495,465,240,1133
129,1410,76,16,139,179,54,38,23,145,3,673,671,336,1182
130,1411,60,12,80,102,32,43,7,81,1,418,306,181,852
131,1412,50,8,67,85,23,28,5,76,0,342,374,179,668
132,1413,83,14,103,131,27,51,11,134,2,556,480,259,938
133,1414,95,11,140,145,66,68,9,171,1,706,570,319,1058
134,1501,93,21,150,179,66,77,24,135,7,752,604,339,1331
135,1502,63,13,95,125,19,39,6,92,2,454,506,240,895
136,1503,59,19,61,66,30,40,10,62,4,351,305,164,584
137,1504,113,38,142,190,64,95,41,141,2,826,802,407,1678
138,1505,69,16,100,150,33,53,25,112,0,558,514,268,1107
139,1506,147,38,71,44,31,108,55,83,2,579,421,250,736
140,1507,66,5,117,139,62,50,24,108,1,572,380,238,897
141,1508,82,23,84,74,32,57,31,71,1,455,481,234,867
142,1509,118,43,126,106,53,93,33,114,3,689,463,288,948
143,1601,147,61,141,124,68,152,53,142,5,893,407,325,1038
144,1602,173,71,87,32,26,149,66,84,6,694,438,283,732
145,1603,151,95,135,121,63,161,77,216,2,1021,727,437,1356
146,1604,184,70,131,114,69,165,79,141,3,956,584,385,1229
147,1605,296,99,148,101,52,283,139,167,4,1289,671,490,1346
148,1606,198,74,179,153,89,182,70,270,6,1221,775,499,1700
149,1607,406,146,157,48,42,397,275,133,3,1607,805,603,1201
150,1608,340,98,189,98,84,333,210,299,7,1658,690,587,1236
151,1609,503,158,184,59,63,500,308,165,10,1950,1174,781,1371
152,1610,327,92,108,65,52,281,208,117,4,1254,730,496,1164
153,1611,408,135,172,108,60,396,192,329,11,1811,773,646,1307
154,1612,561,136,144,58,56,518,345,308,5,2131,1101,808,1271
155,1701,93,18,124,142,22,48,17,139,2,605,523,282,1116
156,1702,68,12,98,108,37,48,11,118,0,500,376,219,768
157,1703,155,30,217,224,110,168,29,280,4,1217,767,496,1578
158,1704,298,69,294,240,105,252,70,330,6,1664,1148,703,1781
159,1705,48,2,78,86,30,46,6,90,0,386,298,171,744
160,1706,126,26,224,177,120,140,34,270,5,1122,606,432,1227
161,1707,43,5,64,127,30,34,10,103,1,417,319,184,632
162,1708,100,19,164,174,60,84,22,187,0,810,570,345,1071
163,1709,132,23,185,130,67,143,27,216,0,923,541,366,846
164,1710,109,20,178,255,68,91,22,220,6,969,663,408,1459
165,1711,36,9,66,74,24,44,11,93,0,357,239,149,519
166,1712,127,19,135,134,76,99,32,184,0,806,526,333,894
167,1713,301,78,218,196,84,284,141,267,2,1571,709,570,1373
168,1714,175,25,156,170,54,157,43,177,8,965,483,362,978
169,1801,212,28,273,283,95,140,28,313,3,1375,921,574,1899
170,1802,140,24,181,259,67,109,20,220,5,1025,703,432,1312
171,1803,157,29,246,304,99,124,21,283,3,1266,810,519,1550
172,1804,157,20,195,212,71,113,25,279,0,1072,844,479,1518
173,1805,190,30,234,235,103,128,37,266,5,1228,1032,565,1563
174,1806,223,46,236,267,134,168,28,324,2,1428,976,601,1697
175,1807,191,49,215,115,158,166,77,161,5,1137,679,454,1300
176,1808,342,70,422,334,252,286,95,339,2,2142,1210,838,2398
177,1809,287,82,273,158,167,319,162,201,4,1653,707,590,1333
178,1810,355,111,368,144,145,391,187,288,5,1994,1046,760,1966
179,1811,145,54,162,90,83,151,57,148,3,893,591,371,1306
180,1812,339,71,271,91,145,247,132,181,1,1578,830,602,1431
181,1813,117,21,120,70,68,107,26,120,1,650,438,272,854
182,1814,130,36,140,93,91,117,26,91,5,729,419,287,907
183,1815,168,28,176,173,97,163,42,194,1,1042,758,450,1310
184,1816,604,119,310,146,210,406,202,246,6,2249,1027,819,1525
185,1817,368,73,177,120,204,219,91,126,2,1380,948,582,1367
186,1818,376,73,277,126,176,280,112,270,5,1695,1077,693,1751
187,1819,445,80,412,150,210,461,168,238,1,2165,1063,807,2075
188,1820,656,123,312,107,207,533,288,192,4,2422,1386,952,1835
189,1821,166,31,241,260,114,154,27,353,0,1346,970,579,1830
190,1822,433,103,346,138,231,435,194,191,4,2075,989,766,1552
191,1823,118,33,130,75,72,100,30,174,3,735,573,327,1018
192,1901,105,30,331,180,125,274,32,249,3,1329,487,454,1309
193,1902,382,111,499,168,176,447,226,345,7,2361,931,823,1631
194,1903,161,47,272,123,53,293,48,237,1,1235,437,418,1091
195,1904,130,40,384,182,168,257,46,286,2,1495,677,543,1580
196,1905,225,40,346,157,138,248,68,298,3,1523,645,542,1382
197,1906,219,42,447,239,156,324,71,376,3,1877,767,661,1694
198,1907,226,43,420,184,185,281,89,300,3,1731,681,603,1658
199,1908,127,33,270,113,90,175,65,203,1,1077,447,381,847
200,1909,128,30,237,124,72,171,47,191,4,1004,376,345,817
201,1910,283,62,337,198,141,313,152,275,3,1764,780,636,1544
202,1911,90,29,157,77,91,76,24,79,3,626,550,294,1154
203,1912,213,55,290,143,128,231,84,193,0,1337,575,478,979
204,1913,162,38,196,100,111,163,81,134,5,990,530,380,1085
205,2001,309,127,226,136,153,346,227,188,3,1715,989,676,1644
206,2002,259,105,325,176,164,317,173,229,4,1752,832,646,1577
207,2003,398,129,218,83,73,385,220,157,3,1666,1010,669,1623
208,2004,222,104,285,135,145,289,157,272,4,1613,627,560,1210
209,2005,435,117,212,98,71,507,304,166,8,1918,1110,757,1585
210,2006,403,235,259,260,90,576,369,286,5,2483,881,841,1656
211,2007,224,142,156,163,54,296,250,156,3,1444,500,486,996
212,2008,248,97,202,104,46,273,161,172,5,1308,576,471,1101
213,2009,284,79,215,114,85,323,166,149,6,1421,791,553,1247
214,2010,527,143,219,131,67,623,367,258,4,2339,1117,864,1828
215,2011,218,90,134,78,34,271,169,158,1,1153,499,413,787
216,2012,324,100,169,104,60,400,287,184,11,1639,717,589,1022
217,2013,314,93,139,81,42,357,245,126,1,1398,530,482,950
218,2014,301,80,174,102,38,398,240,184,3,1520,704,556,964
219,2015,488,126,222,135,72,479,317,149,3,1991,1117,777,1714
220,2016,536,161,232,135,115,526,387,189,14,2295,1217,878,1725
221,2017,538,169,257,150,65,627,399,293,11,2509,1207,929,1809
222,2018,266,83,153,71,51,346,228,176,4,1378,562,485,945
223,2019,268,149,124,148,34,340,310,143,3,1519,617,534,996
224,2020,325,194,197,202,83,412,275,228,5,1921,767,672,1640
225,2101,94,36,100,46,40,113,30,89,1,549,271,205,1915
226,2102,10,8,13,7,6,14,4,15,0,77,27,26,1207
227,2103,64,19,65,29,18,70,16,72,0,353,159,128,1588
228,2104,42,15,41,15,14,47,15,43,0,232,144,94,1191
229,2105,58,26,60,37,32,62,36,72,0,383,209,148,1421
230,2106,186,47,120,52,24,174,66,129,2,800,336,284,1167
231,2107,94,32,101,50,33,85,47,88,2,532,208,185,1425
232,2108,67,30,78,47,21,78,23,61,3,408,212,155,1664
233,2109,122,26,138,45,25,113,28,103,3,603,329,233,1746
234,2110,160,39,170,64,61,160,45,145,4,848,312,290,1278
235,2111,141,41,113,46,51,126,60,102,2,682,462,286,1691
236,2112,277,36,260,56,34,259,46,248,5,1221,427,412,1697
237,2113,556,64,503,72,68,517,75,449,5,2309,627,734,2103
238,2114,48,17,63,32,24,55,29,62,1,331,157,122,916
239,2115,80,26,86,32,18,80,40,92,1,455,257,178,1278
240,2116,246,56,224,79,35,244,68,229,1,1182,454,409,1682
241,2201,254,67,183,75,37,241,91,153,7,1108,696,451,2139
242,2202,211,62,168,88,55,239,75,141,11,1050,594,411,2001
243,2203,263,78,156,57,33,239,100,147,3,1076,692,442,1674
244,2204,200,72,136,63,42,188,94,143,9,947,589,384,1156
245,2205,134,32,75,31,23,139,45,78,2,559,345,226,953
246,2206,140,38,97,45,19,142,59,73,6,619,289,227,984
247,2207,184,39,131,67,48,178,91,143,3,884,536,355,1477
248,2208,207,56,122,77,26,214,91,121,3,917,591,377,1394
249,2209,144,46,106,70,30,153,78,111,2,740,476,304,1392
250,2210,276,56,189,72,44,235,125,171,6,1174,706,470,1664
251,2211,190,33,118,45,25,163,76,89,2,741,523,316,1079
252,2212,211,46,127,47,37,186,103,91,2,850,638,372,1100
253,2213,170,40,77,41,21,155,93,83,0,680,436,279,911
