,0
wellington_hill,"[('patting', 0.991487443447113)]"
mattapan,"[('mission_hill', 0.9431474208831787)]"
dorchester,"[('milton', 0.8884478807449341)]"
dudley,"[('dudley', 0.9606397151947021)]"
roxbury,"[('south_end', 0.9275394082069397)]"
hyde_park,"[('mission_hill', 0.9637887477874756)]"
washington,"[('d', 0.9153246879577637)]"
bunker_hill,"[('bunker_hill', 0.9571584463119507)]"
columbus,"[('centre', 0.9824787974357605)]"
shawmut,"[('terrace', 0.9801941514015198)]"
boston,"[('â€œboston', 0.877993106842041)]"
